2017-05-21 16:05:31,385 [Worker-113] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: RefactoringKevin:RefactoringKevin:0.0.1-SNAPSHOT @ C:\Users\Kevin\Universidad\4º Grado\Procesos de Ingeniería del Software II\Prácticas\Actividad08\RefactoringKevin\pom.xml.
2017-05-22 11:54:32,364 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-22 11:54:32,371 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Kevin\Universidad\4º Grado\Procesos de Ingeniería del Software II\Prácticas\Actividad08\RefactoringKevin\src\test\resources
2017-05-22 12:01:05,789 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-22 12:01:05,793 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Kevin\Universidad\4º Grado\Procesos de Ingeniería del Software II\Prácticas\Actividad08\RefactoringKevin\src\main\resources
2017-05-22 12:01:05,794 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-22 12:01:05,802 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Kevin\Universidad\4º Grado\Procesos de Ingeniería del Software II\Prácticas\Actividad08\RefactoringKevin\src\test\resources
2017-05-22 12:01:06,844 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-22 12:01:06,852 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Kevin\Universidad\4º Grado\Procesos de Ingeniería del Software II\Prácticas\Actividad08\RefactoringKevin\src\main\resources
2017-05-22 12:01:06,855 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-22 12:01:06,862 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Kevin\Universidad\4º Grado\Procesos de Ingeniería del Software II\Prácticas\Actividad08\RefactoringKevin\src\test\resources
2017-05-22 12:04:34,247 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-22 12:04:34,252 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Kevin\Universidad\4º Grado\Procesos de Ingeniería del Software II\Prácticas\Actividad08\RefactoringKevin\src\main\resources
2017-05-22 12:04:34,252 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
